product_type,product_subtype,price,material,brand,competitor_name,product_description,feature,original_site
Apparel,Jacket,98.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata vest is a quilted puffer made of durable ripstop fabric. It has outer pockets, the Bollo badge and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,90.00,down,Napapijri,Napapijri Usa,"Water-resistant, the women's Amira puffer jacket is a versatile outer layer filled with lightweight down-free Thermo-Fibre™ padding for superior thermal regulation. It's finished with slanted pockets and the signature Napapijri Bollo patch on the left arm.",lightweight,https://napapijri.com
Apparel,Jacket,107.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Amis Summer Short Jacket is engineered for durability and performance. It features a regular fit, zip fastening and signature patches that pay homage to our outdoorsy spirit.",,https://napapijri.com
Apparel,Jacket,107.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Amis Summer Short Jacket is engineered for durability and performance. It features a regular fit, zip fastening and signature patches that pay homage to our outdoorsy spirit.",,https://napapijri.com
Apparel,Jacket,107.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Amis Summer Short Jacket is engineered for durability and performance. It features a regular fit, zip fastening and signature patches that pay homage to our outdoorsy spirit.",,https://napapijri.com
Apparel,Bottoms,55.00,cotton,Napapijri,Napapijri Usa,"Ideal for warm-weather activities, the Amundsen short sleeve t-shirt is a premium essential that carries a laid-back aesthetic. This crew neck top features a regular fit and a soft, breathable cotton composition for day-long comfort.",breathable,https://napapijri.com
Apparel,Bottoms,55.00,cotton,Napapijri,Napapijri Usa,"Ideal for warm-weather activities, the Amundsen short sleeve t-shirt is a premium essential that carries a laid-back aesthetic. This crew neck top features a regular fit and a soft, breathable cotton composition for day-long comfort.",breathable,https://napapijri.com
Apparel,Bottoms,56.00,cotton,Napapijri,Napapijri Usa,"Designed for life on the move, the Anions Bermuda Shorts stays true to Napapijri's heritage, embodying the spirit of adventure and style. These shorts feature an elastic waistband and zipped pockets for practicality and comfort. Made from durable cotton, they offer a laid-back vibe perfect for summer adventures or casual city strolls.",,https://napapijri.com
Apparel,Bottoms,56.00,cotton,Napapijri,Napapijri Usa,"Designed for life on the move, the Anions Bermuda Shorts stays true to Napapijri's heritage, embodying the spirit of adventure and style. These shorts feature an elastic waistband and zipped pockets for practicality and comfort. Made from durable cotton, they offer a laid-back vibe perfect for summer adventures or casual city strolls.",,https://napapijri.com
Apparel,Bottoms,56.00,cotton,Napapijri,Napapijri Usa,"Designed for life on the move, the Anions Bermuda Shorts stays true to Napapijri's heritage, embodying the spirit of adventure and style. These shorts feature an elastic waistband and zipped pockets for practicality and comfort. Made from durable cotton, they offer a laid-back vibe perfect for summer adventures or casual city strolls.",,https://napapijri.com
Apparel,Top,75.00,"down, cotton",Napapijri,Napapijri Usa,"Inspired by Napapijri’s blend of outdoor heritage and urban style, the Anions Long Sleeve Shirt features a classic collar and button-down front, offering a timeless look for various occasions. Made with 100% cotton, the shirt provides comfort and breathability for everyday wear, combining practicality with a laid-back aesthetic for any adventure.",breathability,https://napapijri.com
Apparel,Top,75.00,"down, cotton",Napapijri,Napapijri Usa,"Inspired by Napapijri’s blend of outdoor heritage and urban style, the Anions Long Sleeve Shirt features a classic collar and button-down front, offering a timeless look for various occasions. Made with 100% cotton, the shirt provides comfort and breathability for everyday wear, combining practicality with a laid-back aesthetic for any adventure.",breathability,https://napapijri.com
Apparel,Top,75.00,"down, cotton",Napapijri,Napapijri Usa,"Inspired by Napapijri’s blend of outdoor heritage and urban style, the Anions Long Sleeve Shirt features a classic collar and button-down front, offering a timeless look for various occasions. Made with 100% cotton, the shirt provides comfort and breathability for everyday wear, combining practicality with a laid-back aesthetic for any adventure.",breathability,https://napapijri.com
Other,Sweatshirts,51.00,,Napapijri,Napapijri Usa,"Blending the brand's outdoor spirit with urban cool, the Antimony French Terry sweatshirt is rooted in Napapijri’s commitment to versatile design. This versatile piece features a classic crew neck design and ribbed cuffs for a snug fit. The soft French terry fabric offers both comfort and durability for everyday wear.",,https://napapijri.com
Other,Sweatshirts,51.00,,Napapijri,Napapijri Usa,"Blending the brand's outdoor spirit with urban cool, the Antimony French Terry sweatshirt is rooted in Napapijri’s commitment to versatile design. This versatile piece features a classic crew neck design and ribbed cuffs for a snug fit. The soft French terry fabric offers both comfort and durability for everyday wear.",,https://napapijri.com
Other,Sweatshirts,51.00,,Napapijri,Napapijri Usa,"Blending the brand's outdoor spirit with urban cool, the Antimony French Terry sweatshirt is rooted in Napapijri’s commitment to versatile design. This versatile piece features a classic crew neck design and ribbed cuffs for a snug fit. The soft French terry fabric offers both comfort and durability for everyday wear.",,https://napapijri.com
Other,Sweatshirts,51.00,,Napapijri,Napapijri Usa,"Blending the brand's outdoor spirit with urban cool, the Antimony French Terry sweatshirt is rooted in Napapijri’s commitment to versatile design. This versatile piece features a classic crew neck design and ribbed cuffs for a snug fit. The soft French terry fabric offers both comfort and durability for everyday wear.",,https://napapijri.com
Apparel,Bottoms,24.00,cotton,Napapijri,Napapijri Usa,"The Antimony Short Sleeve T-Shirt embodies the brand's authentic spirit with a modern twist. This versatile tee features a classic crew neck and a comfortable relaxed fit, perfect for everyday wear. Made from pure cotton, it offers breathability and durability for urban settings and laid-back adventures.",breathability,https://napapijri.com
Apparel,Bottoms,24.00,cotton,Napapijri,Napapijri Usa,"The Antimony Short Sleeve T-Shirt embodies the brand's authentic spirit with a modern twist. This versatile tee features a classic crew neck and a comfortable relaxed fit, perfect for everyday wear. Made from pure cotton, it offers breathability and durability for urban settings and laid-back adventures.",breathability,https://napapijri.com
Apparel,Bottoms,24.00,cotton,Napapijri,Napapijri Usa,"The Antimony Short Sleeve T-Shirt embodies the brand's authentic spirit with a modern twist. This versatile tee features a classic crew neck and a comfortable relaxed fit, perfect for everyday wear. Made from pure cotton, it offers breathability and durability for urban settings and laid-back adventures.",breathability,https://napapijri.com
Apparel,Bottoms,24.00,cotton,Napapijri,Napapijri Usa,"The Antimony Short Sleeve T-Shirt embodies the brand's authentic spirit with a modern twist. This versatile tee features a classic crew neck and a comfortable relaxed fit, perfect for everyday wear. Made from pure cotton, it offers breathability and durability for urban settings and laid-back adventures.",breathability,https://napapijri.com
Apparel,Bottoms,21.00,cotton,Napapijri,Napapijri Usa,"The Antimony Short Sleeve T-Shirt embodies the brand's authentic spirit with a modern twist. This versatile tee features a classic crew neck and a comfortable relaxed fit, perfect for everyday wear. Made from pure cotton, it offers breathability and durability for urban settings and laid-back adventures.",breathability,https://napapijri.com
Apparel,Bottoms,70.00,cotton,Napapijri,Napapijri Usa,"Crafted from cotton with a slight stretch for increased comfort, the Arabba chino trousers for women have a regular fit and a straight, slightly tapered leg. They feature a functional waist belt and a spacious pocket on the left leg.",stretch,https://napapijri.com
Apparel,Bottoms,70.00,cotton,Napapijri,Napapijri Usa,"Crafted from cotton with a slight stretch for increased comfort, the Arabba chino trousers for women have a regular fit and a straight, slightly tapered leg. They feature a functional waist belt and a spacious pocket on the left leg.",stretch,https://napapijri.com
Apparel,Midlayer,63.00,fleece,Napapijri,Napapijri Usa,"Featuring a retro design, the Arbari full-zip fleece for kids is a warm and comfortable midlayer finished with zipped pockets, a chin guard and signature Napapijri patches.",,https://napapijri.com
Other,Sweatshirts,47.50,,Napapijri,Napapijri Usa,"Finished with seasonal Napapijri graphics on the front and back, the Aren French Terry sweatshirt is a warm and comfortable crew neck for casual days. It has a relaxed fit for a laid-back look and feel.",,https://napapijri.com
Other,Sweatshirts,47.50,,Napapijri,Napapijri Usa,"Finished with seasonal Napapijri graphics on the front and back, the Aren French Terry sweatshirt is a warm and comfortable crew neck for casual days. It has a relaxed fit for a laid-back look and feel.",,https://napapijri.com
Other,Sweatshirts,47.50,,Napapijri,Napapijri Usa,"Finished with seasonal Napapijri graphics on the front and back, the Aren French Terry sweatshirt is a warm and comfortable crew neck for casual days. It has a relaxed fit for a laid-back look and feel.",,https://napapijri.com
Apparel,Bottoms,25.00,cotton,Napapijri,Napapijri Usa,"Made of 100% cotton for a soft and comfortable feel, the relaxed-fit Aren jersey short sleeve t-shirt features a crew neck, visible stitch detailing and our seasonal Napapijri logo graphic on the left chest.",,https://napapijri.com
Apparel,Bottoms,25.00,cotton,Napapijri,Napapijri Usa,"Made of 100% cotton for a soft and comfortable feel, the relaxed-fit Aren jersey short sleeve t-shirt features a crew neck, visible stitch detailing and our seasonal Napapijri logo graphic on the left chest.",,https://napapijri.com
Apparel,Bottoms,25.00,cotton,Napapijri,Napapijri Usa,"Made of 100% cotton for a soft and comfortable feel, the relaxed-fit Aren jersey short sleeve t-shirt features a crew neck, visible stitch detailing and our seasonal Napapijri logo graphic on the left chest.",,https://napapijri.com
Apparel,Jacket,87.50,,Napapijri,Napapijri Usa,"Embodying Napapijri's commitment to versatile design, the Arrayanes Jacket offers the brand's signature blend of outdoor functionality and urban style. Features include a zip fastening, adjustable cuffs and a relaxed fit for a comfortable feel.",adjustable cuffs,https://napapijri.com
Apparel,Jacket,87.50,,Napapijri,Napapijri Usa,"Embodying Napapijri's commitment to versatile design, the Arrayanes Jacket offers the brand's signature blend of outdoor functionality and urban style. Features include a zip fastening, adjustable cuffs and a relaxed fit for a comfortable feel.",adjustable cuffs,https://napapijri.com
Apparel,Jacket,87.50,,Napapijri,Napapijri Usa,"Embodying Napapijri's commitment to versatile design, the Arrayanes Jacket offers the brand's signature blend of outdoor functionality and urban style. Features include a zip fastening, adjustable cuffs and a relaxed fit for a comfortable feel.",adjustable cuffs,https://napapijri.com
Apparel,Jacket,87.50,,Napapijri,Napapijri Usa,"Embodying Napapijri's commitment to versatile design, the Arrayanes Jacket offers the brand's signature blend of outdoor functionality and urban style. Features include a zip fastening, adjustable cuffs and a relaxed fit for a comfortable feel.",adjustable cuffs,https://napapijri.com
Other,Trainers,57.00,,Napapijri,Napapijri Usa,"Chunky sneakers with a contemporary look. The upper combines smooth and suede leather, accented with details on the heel and sides. A sole and tread complete this comfortable style, perfect for everyday wear.",,https://napapijri.com
Other,Trainers,57.00,,Napapijri,Napapijri Usa,"Chunky sneakers with a contemporary look. The upper combines smooth and suede leather, accented with details on the heel and sides. A sole and tread complete this comfortable style, perfect for everyday wear.",,https://napapijri.com
Other,Trainers,57.00,,Napapijri,Napapijri Usa,"Chunky sneakers with a contemporary look. The upper combines smooth and suede leather, accented with details on the heel and sides. A sole and tread complete this comfortable style, perfect for everyday wear.",,https://napapijri.com
Other,Trainers,54.00,,Napapijri,Napapijri Usa,"Casual yet refined sneakers featuring a technical fabric lining and insole, heel support, and a lightweight sole for comfort and stability. The rubber outsole adds durability and reliable grip.",lightweight,https://napapijri.com
Other,Trainers,54.00,,Napapijri,Napapijri Usa,"Casual yet refined sneakers featuring a technical fabric lining and insole, heel support, and a lightweight sole for comfort and stability. The rubber outsole adds durability and reliable grip.",lightweight,https://napapijri.com
Accessories,Socks,16.10,,Napapijri,Napapijri Usa,"Crafted from slight stretch fabric, the Atlas Socks are built for everyday wear. They feature an elasticated hem and a jacquard knit fabrication for a durable, soft and comfortable feel.",stretch,https://napapijri.com
Accessories,Socks,16.10,,Napapijri,Napapijri Usa,"Crafted from slight stretch fabric, the Atlas Socks are built for everyday wear. They feature an elasticated hem and a jacquard knit fabrication for a durable, soft and comfortable feel.",stretch,https://napapijri.com
Accessories,Socks,16.10,,Napapijri,Napapijri Usa,"Crafted from slight stretch fabric, the Atlas Socks are built for everyday wear. They feature an elasticated hem and a jacquard knit fabrication for a durable, soft and comfortable feel.",stretch,https://napapijri.com
Accessories,Socks,16.10,,Napapijri,Napapijri Usa,"Crafted from slight stretch fabric, the Atlas Socks are built for everyday wear. They feature an elasticated hem and a jacquard knit fabrication for a durable, soft and comfortable feel.",stretch,https://napapijri.com
Other,Sweatshirts,65.00,,Napapijri,Napapijri Usa,"Designed for active lifestyles, the Aurora French Terry Sweatshirt displays the brand's signature blend of outdoor heritage and urban flair. This versatile piece features a crew neck and ribbed cuffs, offering a classic silhouette with modern appeal. It's made from soft French terry fabric, delivering comfort and durability while combining practicality with a laid-back aesthetic for any adventure.",,https://napapijri.com
Other,Sweatshirts,45.50,,Napapijri,Napapijri Usa,"Designed for active lifestyles, the Aurora French Terry Sweatshirt displays the brand's signature blend of outdoor heritage and urban flair. This versatile piece features a crew neck and ribbed cuffs, offering a classic silhouette with modern appeal. It's made from soft French terry fabric, delivering comfort and durability while combining practicality with a laid-back aesthetic for any adventure.",,https://napapijri.com
Other,Sweatshirts,45.50,,Napapijri,Napapijri Usa,"Designed for active lifestyles, the Aurora French Terry Sweatshirt displays the brand's signature blend of outdoor heritage and urban flair. This versatile piece features a crew neck and ribbed cuffs, offering a classic silhouette with modern appeal. It's made from soft French terry fabric, delivering comfort and durability while combining practicality with a laid-back aesthetic for any adventure.",,https://napapijri.com
Other,Sweatshirts,45.50,,Napapijri,Napapijri Usa,"Designed for active lifestyles, the Aurora French Terry Sweatshirt displays the brand's signature blend of outdoor heritage and urban flair. This versatile piece features a crew neck and ribbed cuffs, offering a classic silhouette with modern appeal. It's made from soft French terry fabric, delivering comfort and durability while combining practicality with a laid-back aesthetic for any adventure.",,https://napapijri.com
Other,Crew Neck Jumpers,70.00,cotton,Napapijri,Napapijri Usa,"Reflecting the brand's modern approach to adventure, the Aurora Jumper embodies Napapijri's heritage and urban appeal. This versatile midlayer features a classic crew neck design and ribbed cuffs for a snug fit. Crafted from pure cotton, the Aurora Jumper offers both comfort and durability for everyday wear.",,https://napapijri.com
Other,Crew Neck Jumpers,70.00,cotton,Napapijri,Napapijri Usa,"Reflecting the brand's modern approach to adventure, the Aurora Jumper embodies Napapijri's heritage and urban appeal. This versatile midlayer features a classic crew neck design and ribbed cuffs for a snug fit. Crafted from pure cotton, the Aurora Jumper offers both comfort and durability for everyday wear.",,https://napapijri.com
Other,Crew Neck Jumpers,70.00,cotton,Napapijri,Napapijri Usa,"Reflecting the brand's modern approach to adventure, the Aurora Jumper embodies Napapijri's heritage and urban appeal. This versatile midlayer features a classic crew neck design and ribbed cuffs for a snug fit. Crafted from pure cotton, the Aurora Jumper offers both comfort and durability for everyday wear.",,https://napapijri.com
Other,Crew Neck Jumpers,70.00,cotton,Napapijri,Napapijri Usa,"Reflecting the brand's modern approach to adventure, the Aurora Jumper embodies Napapijri's heritage and urban appeal. This versatile midlayer features a classic crew neck design and ribbed cuffs for a snug fit. Crafted from pure cotton, the Aurora Jumper offers both comfort and durability for everyday wear.",,https://napapijri.com
Apparel,Bottoms,48.00,cotton,Napapijri,Napapijri Usa,"Inspired by Napapijri’s adventurous spirit, the Aurora Piqué Short Sleeve Polo embodies the brand's fusion of outdoor spirit and urban style. This classic polo features a timeless design with a comfortable piqué fabric, making it a versatile essential for any wardrobe. Crafted from cotton, it offers breathability and durability for everyday wear.",breathability,https://napapijri.com
Apparel,Bottoms,48.00,cotton,Napapijri,Napapijri Usa,"Inspired by Napapijri’s adventurous spirit, the Aurora Piqué Short Sleeve Polo embodies the brand's fusion of outdoor spirit and urban style. This classic polo features a timeless design with a comfortable piqué fabric, making it a versatile essential for any wardrobe. Crafted from cotton, it offers breathability and durability for everyday wear.",breathability,https://napapijri.com
Apparel,Bottoms,60.00,cotton,Napapijri,Napapijri Usa,"Inspired by Napapijri’s adventurous spirit, the Aurora Piqué Short Sleeve Polo embodies the brand's fusion of outdoor spirit and urban style. This classic polo features a timeless design with a comfortable piqué fabric, making it a versatile essential for any wardrobe. Crafted from cotton, it offers breathability and durability for everyday wear.",breathability,https://napapijri.com
Apparel,Bottoms,36.00,cotton,Napapijri,Napapijri Usa,"Inspired by Napapijri’s adventurous spirit, the Aurora Piqué Short Sleeve Polo embodies the brand's fusion of outdoor spirit and urban style. This classic polo features a timeless design with a comfortable piqué fabric, making it a versatile essential for any wardrobe. Crafted from cotton, it offers breathability and durability for everyday wear.",breathability,https://napapijri.com
Apparel,Bottoms,24.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Aurora Short Sleeve T-Shirt stays true to the brand's adventurous spirit. This versatile tee features an oversized fit and a crew neck design, making it ideal for everyday wear. Crafted from cotton, it delivers comfort and durability for whatever the day brings.",,https://napapijri.com
Apparel,Bottoms,24.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Aurora Short Sleeve T-Shirt stays true to the brand's adventurous spirit. This versatile tee features an oversized fit and a crew neck design, making it ideal for everyday wear. Crafted from cotton, it delivers comfort and durability for whatever the day brings.",,https://napapijri.com
Apparel,Bottoms,24.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Aurora Short Sleeve T-Shirt stays true to the brand's adventurous spirit. This versatile tee features an oversized fit and a crew neck design, making it ideal for everyday wear. Crafted from cotton, it delivers comfort and durability for whatever the day brings.",,https://napapijri.com
Apparel,Bottoms,24.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Aurora Short Sleeve T-Shirt stays true to the brand's adventurous spirit. This versatile tee features an oversized fit and a crew neck design, making it ideal for everyday wear. Crafted from cotton, it delivers comfort and durability for whatever the day brings.",,https://napapijri.com
